date,close
7/1/2019 9:30,140.37
7/1/2019 9:31,139.95
7/1/2019 9:32,139.62
7/1/2019 9:33,139.65
7/1/2019 9:34,139.36
7/1/2019 9:35,139.791
7/1/2019 9:36,139.56
7/1/2019 9:37,139.333
7/1/2019 9:38,139.41
7/1/2019 9:39,139.539
7/1/2019 9:40,139.7
7/1/2019 9:41,139.909
7/1/2019 9:42,139.86
7/1/2019 9:43,139.77
7/1/2019 9:44,139.935
7/1/2019 9:45,139.518
7/1/2019 9:46,139.54
7/1/2019 9:47,139.57
7/1/2019 9:48,139.51
7/1/2019 9:49,139.615
7/1/2019 9:50,139.71
7/1/2019 9:51,139.82
7/1/2019 9:52,139.81
7/1/2019 9:53,139.85
7/1/2019 9:54,139.757
7/1/2019 9:55,139.72
7/1/2019 9:56,139.71
7/1/2019 9:57,139.733
7/1/2019 9:58,139.88
7/1/2019 9:59,140.01
7/1/2019 10:00,139.98
7/1/2019 10:01,139.98
7/1/2019 10:02,140.13
7/1/2019 10:03,140.49
7/1/2019 10:04,140.465
7/1/2019 10:05,140.59
7/1/2019 10:06,140.61
7/1/2019 10:07,140.56
7/1/2019 10:08,140.65
7/1/2019 10:09,140.58
7/1/2019 10:10,140.63
7/1/2019 10:11,140.63
7/1/2019 10:12,140.55
7/1/2019 10:13,140.51
7/1/2019 10:14,140.5
7/1/2019 10:15,140.52
7/1/2019 10:16,140.6
7/1/2019 10:17,140.631
7/1/2019 10:18,140.58
7/1/2019 10:19,140.55
7/1/2019 10:20,140.68
7/1/2019 10:21,140.74
7/1/2019 10:22,140.745
7/1/2019 10:23,140.558
7/1/2019 10:24,140.615
7/1/2019 10:25,140.535
7/1/2019 10:26,140.534
7/1/2019 10:27,140.671
7/1/2019 10:28,140.565
7/1/2019 10:29,140.66
7/1/2019 10:30,140.67
7/1/2019 10:31,140.64
7/1/2019 10:32,140.5
7/1/2019 10:33,140.523
7/1/2019 10:34,140.49
7/1/2019 10:35,140.49
7/1/2019 10:36,140.59
7/1/2019 10:37,140.52
7/1/2019 10:38,140.61
7/1/2019 10:39,140.67
7/1/2019 10:40,140.73
7/1/2019 10:41,140.78
7/1/2019 10:42,140.73
7/1/2019 10:43,140.787
7/1/2019 10:44,140.77
7/1/2019 10:45,140.77
7/1/2019 10:46,140.89
7/1/2019 10:47,141.012
7/1/2019 10:48,140.92
7/1/2019 10:49,140.975
7/1/2019 10:50,141.12
7/1/2019 10:51,141.34
7/1/2019 10:52,141.18
7/1/2019 10:53,141.18
7/1/2019 10:54,141.2
7/1/2019 10:55,141.09
7/1/2019 10:56,141.06
7/1/2019 10:57,141.042
7/1/2019 10:58,141.12
7/1/2019 10:59,141.18
7/1/2019 11:00,141.25
7/1/2019 11:01,141.17
7/1/2019 11:02,141.018
7/1/2019 11:03,141.08
7/1/2019 11:04,141.06
7/1/2019 11:05,141.085
7/1/2019 11:06,141.13
7/1/2019 11:07,141.15
7/1/2019 11:08,141.13
7/1/2019 11:09,141.08
7/1/2019 11:10,140.98
7/1/2019 11:11,140.91
7/1/2019 11:12,140.99
7/1/2019 11:13,141.03
7/1/2019 11:14,141.09
7/1/2019 11:15,141.09
7/1/2019 11:16,141
7/1/2019 11:17,141.06
7/1/2019 11:18,140.97
7/1/2019 11:19,140.969
7/1/2019 11:20,141.029
7/1/2019 11:21,141.03
7/1/2019 11:22,141.06
7/1/2019 11:23,141.009
7/1/2019 11:24,140.98
7/1/2019 11:25,140.976
7/1/2019 11:26,141.01
7/1/2019 11:27,140.995
7/1/2019 11:28,140.99
7/1/2019 11:29,140.97
7/1/2019 11:30,141
7/1/2019 11:31,141.08
7/1/2019 11:32,141.09
7/1/2019 11:33,141.088
7/1/2019 11:34,141.14
7/1/2019 11:35,141.18
7/1/2019 11:36,141.1
7/1/2019 11:37,141.18
7/1/2019 11:38,141.18
7/1/2019 11:39,141.19
7/1/2019 11:40,141.15
7/1/2019 11:41,141.16
7/1/2019 11:42,141.11
7/1/2019 11:43,141.08
7/1/2019 11:44,141.05
7/1/2019 11:45,141.02
7/1/2019 11:46,141.06
7/1/2019 11:47,141.08
7/1/2019 11:48,141.06
7/1/2019 11:49,141.015
7/1/2019 11:50,140.965
7/1/2019 11:51,141.06
7/1/2019 11:52,141.005
7/1/2019 11:53,141.01
7/1/2019 11:54,140.99
7/1/2019 11:55,141.01
7/1/2019 11:56,141.02
7/1/2019 11:57,141.03
7/1/2019 11:58,141.01
7/1/2019 11:59,140.992
7/1/2019 12:00,141.02
7/1/2019 12:01,140.98
7/1/2019 12:02,140.96
7/1/2019 12:03,141.03
7/1/2019 12:04,141.06
7/1/2019 12:05,140.98
7/1/2019 12:06,141.005
7/1/2019 12:07,141.074
7/1/2019 12:08,141.09
